Ana,1.11,1.46,0.13,365,0.0,733,0.0,Ana,1.11,1.46,0.13,365,0,733,0.0,50
Bastion,2.41,2.59,0.309,1988,0.0,170,0.97,Ana,1.11,1.46,0.13,365,0,733,0.0,15
Lucio,1.42,1.87,0.324,476,0,821,1.37,Ana,1.11,1.46,0.13,365,0,733,0.0,75
McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,Ana,1.11,1.46,0.13,365,0,733,0.0,45
Mei,2.01,2.39,0.38,727,602,95,0.9,Ana,1.11,1.46,0.13,365,0,733,0.0,30
Reaper,2.49,2.63,0.315,1225,0.0,62,12.24,Ana,1.11,1.46,0.13,365,0,733,0.0,38
Roadhog,2.18,2.72,0.361,1339,0,313,11.78,Ana,1.11,1.46,0.13,365,0,733,0.0,0
Soldier:76,2.55,3.0,0.411,1491,0,165,3.22,Ana,1.11,1.46,0.13,365,0,733,0.0,30
Torbjorn,2.35,3.55,0.335,1342,0.0,0.0,1.57,Ana,1.11,1.46,0.13,365,0,733,0.0,30
Zarya,2.31,3.26,0.478,1084,534,0.0,0.0,Ana,1.11,1.46,0.13,365,0,733,0.0,27
Zenyatta,1.67,2.16,0.343,863,0.0,655,1.09,Ana,1.11,1.46,0.13,365,0,733,0.0,10
Ana,1.11,1.46,0.13,365,0.0,733,0.0,Bastion,2.41,2.59,0.309,1988,0,170,0.97,85
Bastion,2.41,2.59,0.309,1988,0,170,0.97,Bastion,2.41,2.59,0.309,1988,0,170,0.97,50
Lucio,1.42,1.87,0.324,476,0,821,1.37,Bastion,2.41,2.59,0.309,1988,0,170,0.97,1.0
McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,Bastion,2.41,2.59,0.309,1988,0,170,0.97,55
Mei,2.01,2.39,0.38,727,602,95,0.9,Bastion,2.41,2.59,0.309,1988,0,170,0.97,60
Reaper,2.49,2.63,0.315,1225,0.0,62,12.24,Bastion,2.41,2.59,0.309,1988,0,170,0.97,55
Roadhog,2.18,2.72,0.361,1339,0,313,11.78,Bastion,2.41,2.59,0.309,1988,0,170,0.97,40
Soldier:76,2.55,3.0,0.411,1491,0,165,3.22,Bastion,2.41,2.59,0.309,1988,0,170,0.97,35
Torbjorn,2.35,3.55,0.335,1342,0.0,0.0,1.57,Bastion,2.41,2.59,0.309,1988,0,170,0.97,60
Zarya,2.31,3.26,0.478,1084,534,0.0,0.0,Bastion,2.41,2.59,0.309,1988,0,170,0.97,65
Zenyatta,1.67,2.16,0.343,863,0.0,655,1.09,Bastion,2.41,2.59,0.309,1988,0,170,0.97,10
Ana,1.11,1.46,0.13,365,0.0,733,0.0,Lucio,1.42,1.87,0.324,476,0,821,1.37,25
Bastion,2.41,2.59,0.309,1988,0,170,0.97,Lucio,1.42,1.87,0.324,476,0,821,1.37,0
Lucio,1.42,1.87,0.324,476,0,821,1.37,Lucio,1.42,1.87,0.324,476,0,821,1.37,50
McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,Lucio,1.42,1.87,0.324,476,0,821,1.37,20
Mei,2.01,2.39,0.38,727,602,95,0.9,Lucio,1.42,1.87,0.324,476,0,821,1.37,0
Reaper,2.49,2.63,0.315,1225,0.0,62,12.24,Lucio,1.42,1.87,0.324,476,0,821,1.37,30
Roadhog,2.18,2.72,0.361,1339,0,313,11.78,Lucio,1.42,1.87,0.324,476,0,821,1.37,0
Soldier:76,2.55,3.0,0.411,1491,0,165,3.22,Lucio,1.42,1.87,0.324,476,0,821,1.37,9
Torbjorn,2.35,3.55,0.335,1342,0.0,0.0,1.57,Lucio,1.42,1.87,0.324,476,0,821,1.37,40
Zarya,2.31,3.26,0.478,1084,534,0.0,0.0,Lucio,1.42,1.87,0.324,476,0,821,1.37,10
Zenyatta,1.67,2.16,0.343,863,0.0,655,1.09,Lucio,1.42,1.87,0.324,476,0,821,1.37,0
Ana,1.11,1.46,0.13,365,0.0,733,0.0,McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,55
Bastion,2.41,2.59,0.309,1988,0,170,0.97,McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,45
Lucio,1.42,1.87,0.324,476,0,821,1.37,McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,80
McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,05
Mei,2.01,2.39,0.38,727,602,95,0.9,McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,30
Reaper,2.49,2.63,0.315,1225,0.0,62,12.24,McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,25
Roadhog,2.18,2.72,0.361,1339,0,313,11.78,McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,20
Soldier:76,2.55,3.0,0.411,1491,0,165,3.22,McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,50
Torbjorn,2.35,3.55,0.335,1342,0.0,0.0,1.57,McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,40
Zarya,2.31,3.26,0.478,1084,534,0.0,0.0,McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,33
Zenyatta,1.67,2.16,0.343,863,0.0,655,1.09,McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,42
Ana,1.11,1.46,0.13,365,0.0,733,0.0,Mei,2.01,2.39,0.38,727,602,95,0.9,70
Bastion,2.41,2.59,0.309,1988,0,170,0.97,Mei,2.01,2.39,0.38,727,602,95,0.9,40
Lucio,1.42,1.87,0.324,476,0,821,1.37,Mei,2.01,2.39,0.38,727,602,95,0.9,100
McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,Mei,2.01,2.39,0.38,727,602,95,0.9,70
Mei,2.01,2.39,0.38,727,602,95,0.9,Mei,2.01,2.39,0.38,727,602,95,0.9,50
Reaper,2.49,2.63,0.315,1225,0.0,62,12.24,Mei,2.01,2.39,0.38,727,602,95,0.9,60
Roadhog,2.18,2.72,0.361,1339,0,313,11.78,Mei,2.01,2.39,0.38,727,602,95,0.9,25
Soldier:76,2.55,3.0,0.411,1491,0,165,3.22,Mei,2.01,2.39,0.38,727,602,95,0.9,40
Torbjorn,2.35,3.55,0.335,1342,0.0,0.0,1.57,Mei,2.01,2.39,0.38,727,602,95,0.9,80
Zarya,2.31,3.26,0.478,1084,534,0.0,0.0,Mei,2.01,2.39,0.38,727,602,95,0.9,70
Zenyatta,1.67,2.16,0.343,863,0.0,655,1.09,Mei,2.01,2.39,0.38,727,602,95,0.9,70
Ana,1.11,1.46,0.13,365,0.0,733,0.0,Reaper,2.49,6.63,0.315,1225,0.0,62,12.24,62
Bastion,2.41,2.59,0.309,1988,0,170,0.97,Reaper,2.49,6.63,0.315,1225,0.0,62,12.24,45
Lucio,1.42,1.87,0.324,476,0,821,1.37,Reaper,2.49,6.63,0.315,1225,0.0,62,12.24,70
McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,Reaper,2.49,6.63,0.315,1225,0.0,62,12.24,75
Mei,2.01,2.39,0.38,727,602,95,0.9,Reaper,2.49,6.63,0.315,1225,0.0,62,12.24,40
Reaper,2.49,2.63,0.315,1225,0.0,62,12.24,Reaper,2.49,6.63,0.315,1225,0.0,62,12.24,50
Roadhog,2.18,2.72,0.361,1339,0,313,11.78,Reaper,2.49,6.63,0.315,1225,0.0,62,12.24,40
Soldier:76,2.55,3.0,0.411,1491,0,165,3.22,Reaper,2.49,6.63,0.315,1225,0.0,62,12.24,50
Torbjorn,2.35,3.55,0.335,1342,0.0,0.0,1.57,Reaper,2.49,6.63,0.315,1225,0.0,62,12.24,60
Zarya,2.31,3.26,0.478,1084,534,0.0,0.0,Reaper,2.49,6.63,0.315,1225,0.0,62,12.24,50
Zenyatta,1.67,2.16,0.343,863,0.0,655,1.09,Reaper,2.49,6.63,0.315,1225,0.0,62,12.24,55
Ana,1.11,1.46,0.13,365,0.0,733,0.0,Roadhog,2.18,2.72,0.361,1339,0,313,11.78,100
Bastion,2.41,2.59,0.309,1988,0,170,0.97,Roadhog,2.18,2.72,0.361,1339,0,313,11.78,60
Lucio,1.42,1.87,0.324,476,0,821,1.37,Roadhog,2.18,2.72,0.361,1339,0,313,11.78,100
McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,Roadhog,2.18,2.72,0.361,1339,0,313,11.78,80
Mei,2.01,2.39,0.38,727,602,95,0.9,Roadhog,2.18,2.72,0.361,1339,0,313,11.78,75
